JoiningYear,City,PaymentTier,Age,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Female,Male,Bachelors,Masters,PHD
2012,Pune,3,28,0,4,0,0,1,1,0,0
2013,New Delhi,3,30,0,2,0,1,0,1,1,1
2016,Pune,3,40,0,4,0,0,1,1,0,0
2014,New Delhi,3,37,0,3,0,0,1,1,0,0
2015,Pune,3,28,1,2,0,1,0,1,1,0
2015,Bangalore,1,24,0,2,0,0,1,1,0,0
2013,New Delhi,3,28,0,2,0,0,1,1,1,0
2016,Pune,3,28,0,5,0,0,1,1,0,0
2013,New Delhi,3,29,0,2,0,1,0,1,0,0
2014,Bangalore,3,29,0,4,0,0,1,1,0,0
2013,Bangalore,3,33,0,3,0,0,1,1,0,0
2017,Bangalore,3,26,0,4,0,1,0,1,0,0
2014,Bangalore,3,28,0,1,0,0,1,1,0,0
2016,New Delhi,3,26,0,4,0,1,0,1,0,0
2015,Bangalore,3,29,0,5,0,0,1,1,0,0
2017,Pune,3,33,0,4,0,0,1,1,0,0
2015,Pune,3,32,0,0,0,0,1,1,0,0
2014,New Delhi,3,33,0,4,0,1,0,1,0,0
2012,Bangalore,3,30,0,1,0,1,0,1,0,0
2012,New Delhi,3,37,0,4,0,0,1,1,1,0
2012,Bangalore,3,40,1,2,0,0,1,1,0,0
2017,Pune,2,39,0,2,0,1,0,1,1,0
2017,New Delhi,1,40,0,5,0,0,1,1,1,0
2015,Pune,3,35,1,5,0,0,1,1,0,0
2017,Pune,2,29,0,2,0,0,1,1,1,0
2017,New Delhi,2,35,0,2,0,1,0,1,1,0
2017,New Delhi,3,28,0,3,0,1,0,1,1,0
2014,Pune,3,30,0,2,0,0,1,1,1,0
2015,New Delhi,3,34,0,4,0,1,0,1,1,1
2017,New Delhi,2,37,0,2,0,0,1,1,1,0
2016,Bangalore,3,39,0,5,0,1,0,1,0,0
2016,Pune,3,31,0,4,0,1,0,1,1,1
2016,Bangalore,3,31,1,5,0,0,1,1,0,0
2012,Bangalore,3,28,1,2,0,0,1,1,0,0
2014,New Delhi,3,28,0,5,0,0,1,1,1,0
2012,Pune,3,28,0,5,0,0,1,1,0,0
2013,Bangalore,3,30,0,5,0,1,0,1,0,0
2013,Pune,3,25,0,3,0,1,0,1,0,0
2014,Pune,3,37,0,1,0,0,1,1,0,0
2015,Pune,3,28,0,2,0,0,1,1,0,0
2015,New Delhi,3,37,0,4,0,0,1,1,0,0
2012,Bangalore,3,41,1,0,0,0,1,1,0,0
2014,Bangalore,3,37,0,4,0,0,1,1,0,0
2017,New Delhi,3,24,0,2,0,0,1,1,1,1
2018,Bangalore,1,27,0,5,0,0,1,1,0,0
2012,Bangalore,3,38,0,3,0,0,1,1,0,0
2017,Bangalore,3,28,0,2,0,0,1,1,0,0
2014,Bangalore,3,38,0,3,0,0,1,1,0,0
2012,Bangalore,1,34,0,0,0,0,1,1,0,0
2012,Pune,3,27,0,5,0,0,1,1,1,0
2017,Pune,3,33,1,5,0,0,1,1,0,0
2013,Pune,3,33,0,4,0,0,1,1,0,0
2012,Bangalore,3,28,0,2,0,0,1,1,0,0
2014,Pune,3,40,0,5,0,0,1,1,0,0
2014,New Delhi,3,32,0,5,0,1,0,1,1,0
2012,New Delhi,3,34,0,4,0,1,0,1,0,0
2017,Pune,3,25,0,3,0,0,1,1,1,0
2013,Bangalore,3,37,0,1,0,1,0,1,0,0
2017,Bangalore,3,31,0,4,0,0,1,1,1,0
2014,Bangalore,3,36,1,3,0,0,1,1,0,0
2014,Bangalore,3,35,0,2,0,1,0,1,0,0
2015,Bangalore,3,34,0,5,0,0,1,1,0,0
2015,New Delhi,1,29,0,2,0,0,1,1,1,1
2012,Pune,3,30,0,1,0,0,1,1,1,0
2014,New Delhi,3,38,0,2,0,1,0,1,0,0
2013,Bangalore,3,33,0,2,0,0,1,1,0,0
2016,Bangalore,3,30,0,1,0,0,1,1,0,0
2017,New Delhi,2,39,0,0,0,1,0,1,0,0
2016,Bangalore,3,29,0,1,0,0,1,1,0,0
2013,Bangalore,3,25,0,3,0,0,1,1,0,0
2014,Pune,3,39,0,2,0,0,1,1,1,0
2012,Bangalore,3,32,0,5,0,0,1,1,0,0
2013,Pune,3,37,0,2,0,0,1,1,1,0
2013,Bangalore,3,32,0,0,0,0,1,1,0,0
2015,Bangalore,3,29,0,1,0,1,0,1,1,1
2017,New Delhi,2,39,0,4,0,1,0,1,1,0
2015,Bangalore,3,23,0,1,0,0,1,1,0,0
2015,New Delhi,3,29,1,1,0,1,0,1,0,0
2012,New Delhi,3,24,0,2,0,1,0,1,0,0
2016,Bangalore,3,38,0,4,0,0,1,1,0,0
2015,Bangalore,3,40,0,4,0,0,1,1,0,0
2017,Bangalore,3,32,0,4,0,0,1,1,0,0
2014,Bangalore,3,30,0,1,0,1,0,1,0,0
2012,Bangalore,3,30,0,4,0,1,0,1,1,1
2015,Bangalore,3,28,0,3,0,1,0,1,0,0
2014,Bangalore,3,29,0,2,0,0,1,1,0,0
2015,Pune,2,41,0,7,0,1,0,1,0,0
2016,Bangalore,3,27,0,5,0,0,1,1,0,0
2013,New Delhi,3,27,1,5,0,1,0,1,0,0
2017,Pune,3,25,0,3,0,0,1,1,0,0
2012,Bangalore,3,36,0,5,0,1,0,1,0,0
2015,Pune,1,24,0,2,0,0,1,1,1,0
2017,Bangalore,3,36,0,5,0,0,1,1,0,0
2013,Pune,3,32,1,5,0,0,1,1,0,0
2014,Pune,2,26,0,4,0,0,1,1,0,0
2016,Bangalore,3,29,0,0,0,0,1,1,0,0
2017,New Delhi,2,40,0,3,0,1,0,1,0,0
2017,New Delhi,2,23,0,1,0,0,1,1,1,0
2017,New Delhi,3,27,0,5,0,0,1,1,1,0
2017,Pune,2,30,0,0,0,0,1,1,1,0
2016,Bangalore,3,28,0,3,0,0,1,1,0,0
2016,Bangalore,3,29,0,5,0,0,1,1,0,0
2013,Pune,3,26,1,4,0,0,1,1,0,0
2014,Bangalore,3,28,0,0,0,0,1,1,0,0
2017,New Delhi,1,40,0,0,0,0,1,1,1,0
2017,New Delhi,1,25,0,3,0,1,0,1,1,0
2013,New Delhi,1,41,0,5,0,0,1,1,1,0
2013,New Delhi,3,30,0,3,0,1,0,1,1,0
2015,Bangalore,3,39,1,2,0,0,1,1,0,0
2016,Bangalore,3,27,0,5,0,1,0,1,0,0
2013,Bangalore,3,23,1,1,0,1,0,1,0,0
2015,Bangalore,3,38,0,1,0,0,1,1,0,0
2013,New Delhi,3,29,0,3,0,0,1,1,1,0
2016,Bangalore,3,27,1,5,0,0,1,1,0,0
2017,New Delhi,2,36,0,2,0,1,0,1,0,0
2016,New Delhi,3,32,0,1,0,0,1,1,1,0
2012,Pune,3,25,0,3,0,0,1,1,0,0
2017,Pune,2,29,0,1,0,1,0,1,1,0
2017,New Delhi,2,36,0,0,0,0,1,1,0,0
2015,Bangalore,3,37,0,5,0,1,0,1,0,0
2017,New Delhi,3,26,0,4,0,0,1,1,1,0
2014,Bangalore,3,29,0,0,0,0,1,1,0,0
2016,Bangalore,3,33,0,3,0,1,0,1,0,0
2017,New Delhi,2,36,0,2,0,0,1,1,0,0
2015,Pune,3,39,0,5,0,0,1,1,1,0
2015,Bangalore,3,28,0,5,0,1,0,1,0,0
2012,Pune,3,36,0,1,0,0,1,1,0,0
2017,Bangalore,3,38,0,3,0,0,1,1,0,0
2012,New Delhi,3,28,0,3,0,0,1,1,0,0
2017,Bangalore,3,30,0,5,0,1,0,1,0,0
2017,Bangalore,2,27,0,5,0,0,1,1,1,0
2015,Bangalore,3,32,0,0,0,1,0,1,0,0
2014,New Delhi,3,23,0,1,0,0,1,1,0,0
2014,Bangalore,3,39,0,5,0,0,1,1,0,0
2012,Bangalore,3,37,0,5,0,0,1,1,0,0
2015,Pune,3,29,0,4,0,1,0,1,1,0
2014,New Delhi,3,33,0,3,0,0,1,1,0,0
2014,New Delhi,1,25,0,3,0,1,0,1,1,0
2014,New Delhi,3,28,0,2,0,0,1,1,1,0
2014,Pune,3,41,0,2,0,0,1,1,0,0
2013,Bangalore,3,30,0,1,0,1,0,1,0,0
2017,Bangalore,2,35,0,0,0,1,0,1,1,0
2015,Bangalore,3,28,0,3,0,0,1,1,0,0
2016,Bangalore,3,38,0,2,0,0,1,1,0,0
2017,Bangalore,3,40,0,5,0,0,1,1,0,0
2017,Pune,3,38,1,1,0,0,1,1,0,0
2015,New Delhi,1,38,0,5,0,0,1,1,1,1
2014,Pune,3,26,0,4,0,0,1,1,0,0
2013,New Delhi,1,36,0,3,0,1,0,1,1,1
2016,Bangalore,3,29,0,3,0,0,1,1,0,0
2013,Bangalore,3,37,0,2,0,0,1,1,0,0
2015,Pune,3,27,0,5,0,1,0,1,0,0
2016,Bangalore,3,30,0,3,0,1,0,1,0,0
2017,Pune,2,29,0,2,0,1,0,1,1,0
2016,New Delhi,3,28,0,2,0,1,0,1,1,0
2013,Pune,3,24,0,2,0,0,1,1,0,0
2015,New Delhi,3,39,0,2,0,1,0,1,1,0
2017,Pune,3,37,0,5,0,1,0,1,0,0
2016,New Delhi,3,28,0,0,0,0,1,1,0,0
2017,Bangalore,3,38,0,2,0,0,1,1,1,0
2015,Bangalore,3,35,1,2,0,0,1,1,0,0
2012,Bangalore,3,31,0,4,0,1,0,1,1,0
2013,Bangalore,3,22,1,0,0,0,1,1,0,0
2012,New Delhi,1,31,0,3,0,1,0,1,0,0
2017,Bangalore,3,24,1,2,0,1,0,1,0,0
2012,Bangalore,3,27,1,5,0,0,1,1,0,0
2015,Pune,3,35,0,3,0,0,1,1,0,0
2013,Bangalore,3,31,0,0,0,0,1,1,0,0
2015,New Delhi,2,25,0,3,0,1,0,1,1,1
2015,Pune,3,28,0,3,0,1,0,1,1,0
2012,Bangalore,3,28,0,4,0,1,0,1,0,0
2014,New Delhi,3,38,0,1,0,1,0,1,0,0
2012,Bangalore,3,36,0,4,0,1,0,1,0,0
2013,Bangalore,3,34,0,5,0,0,1,1,0,0
2014,Bangalore,3,34,1,1,0,0,1,1,0,0
2017,Bangalore,3,35,0,4,0,1,0,1,0,0
2015,New Delhi,3,38,0,0,0,0,1,1,0,0
2014,New Delhi,2,27,0,5,0,1,0,1,1,1
2017,Bangalore,3,33,0,1,0,0,1,1,0,0
2013,Bangalore,3,30,0,2,0,0,1,1,0,0
2015,New Delhi,3,40,0,1,0,1,0,1,0,0
2012,New Delhi,3,30,0,4,0,0,1,1,1,1
2017,Bangalore,1,30,0,2,0,0,1,1,0,0
2014,Pune,3,28,0,2,0,0,1,1,0,0
2014,Pune,3,25,0,3,0,1,0,1,0,0
2017,Bangalore,3,31,1,2,0,0,1,1,0,0
2015,Pune,2,33,0,4,0,1,0,1,1,0
2012,Pune,3,39,0,5,0,0,1,1,0,0
2015,Bangalore,3,32,0,0,0,0,1,1,0,0
2014,New Delhi,3,28,0,3,0,1,0,1,0,0
2015,Bangalore,3,27,0,5,0,1,0,1,0,0
2015,New Delhi,2,29,1,1,0,1,0,1,1,1
2015,New Delhi,3,40,0,5,0,1,0,1,1,0
2017,Bangalore,3,28,0,1,0,0,1,1,0,0
2017,New Delhi,2,28,0,4,0,1,0,1,0,0
2013,Bangalore,3,34,0,4,0,0,1,1,0,0
2016,Bangalore,3,29,0,1,0,1,0,1,0,0
2012,Bangalore,3,33,0,2,0,0,1,1,0,0
2013,Pune,3,28,0,2,0,0,1,1,0,0
2014,Bangalore,3,39,0,3,0,0,1,1,0,0
2014,New Delhi,1,29,0,1,0,0,1,1,1,0
2017,Bangalore,3,37,0,3,0,0,1,1,0,0
2015,Bangalore,3,32,0,5,0,1,0,1,0,0
2013,Bangalore,3,28,0,3,0,0,1,1,0,0
2017,New Delhi,2,31,0,1,0,0,1,1,0,0
2018,Bangalore,1,25,1,3,0,0,1,1,0,0
2012,Pune,3,29,0,0,0,0,1,1,0,0
2015,Pune,3,37,0,2,0,0,1,1,1,1
2013,New Delhi,3,28,1,3,0,1,0,1,0,0
2017,New Delhi,2,30,0,2,0,0,1,1,1,0
2017,New Delhi,3,35,0,2,0,1,0,1,1,0
2015,Bangalore,3,29,0,1,0,1,0,1,0,0
2017,Pune,3,40,0,3,0,0,1,1,0,0
2012,Bangalore,3,30,1,2,0,0,1,1,0,0
2017,New Delhi,2,28,0,0,0,1,0,1,0,0
2012,Pune,1,35,0,1,0,0,1,1,0,0
2016,Bangalore,3,41,0,2,0,0,1,1,0,0
2015,Pune,2,34,0,2,0,1,0,1,1,0
2016,Bangalore,3,25,0,3,0,0,1,1,1,1
2014,Pune,1,26,0,4,0,0,1,1,0,0
2013,New Delhi,3,26,0,4,0,0,1,1,1,1
2012,Bangalore,3,37,0,0,0,0,1,1,0,0
2016,Bangalore,3,34,1,4,0,0,1,1,0,0
2014,New Delhi,3,24,0,2,0,0,1,1,1,1
2017,New Delhi,3,39,0,5,1,1,0,1,1,0
2013,Pune,3,40,0,1,1,1,0,1,0,0
2013,New Delhi,2,29,0,2,1,1,0,1,1,0
2017,New Delhi,2,29,0,2,1,1,0,1,1,0
2012,Pune,3,25,0,3,1,0,1,1,1,0
2012,New Delhi,3,35,0,4,1,1,0,1,1,0
2016,Bangalore,3,25,0,3,1,0,1,1,0,0
2018,New Delhi,3,30,0,4,1,1,0,1,1,0
2016,Bangalore,1,37,0,2,1,0,1,1,1,0
2015,Pune,1,24,1,2,1,1,0,1,0,0
2018,Pune,2,37,0,0,1,1,0,1,0,0
2013,Bangalore,3,37,0,3,1,1,0,1,1,0
2014,Pune,2,34,1,1,1,1,0,1,0,0
2017,Bangalore,2,26,0,4,1,1,0,1,1,0
2015,Pune,3,37,0,2,1,1,0,1,0,0
2016,Bangalore,3,27,0,5,1,0,1,1,1,0
2018,Bangalore,3,32,1,0,1,0,1,1,0,0
2018,Pune,3,26,0,4,1,0,1,1,1,1
2014,Bangalore,3,30,0,4,1,0,1,1,1,0
2018,Bangalore,3,34,0,3,1,0,1,1,0,0
2014,Pune,3,26,0,4,1,0,1,1,0,0
2015,Bangalore,3,28,0,0,1,0,1,1,0,0
2015,Bangalore,3,35,0,0,1,1,0,1,0,0
2018,Pune,3,27,0,5,1,0,1,1,0,0
2013,New Delhi,2,25,0,3,1,0,1,1,1,0
2014,New Delhi,2,23,0,1,1,1,0,1,0,0
2015,Bangalore,1,32,1,0,1,0,1,1,0,0
2016,Bangalore,3,26,0,4,1,1,0,1,1,0
2013,Bangalore,3,31,1,3,1,1,0,1,0,0
2017,Bangalore,3,27,0,5,1,0,1,1,1,0
2015,Pune,2,39,0,5,1,1,0,1,0,0
2018,Pune,3,38,0,3,1,0,1,1,0,0
2016,Pune,1,25,0,3,1,1,0,1,0,0
2017,Bangalore,3,28,0,0,1,0,1,1,0,0
2018,Pune,3,28,0,5,1,0,1,1,0,0
2013,Pune,2,41,0,2,1,0,1,1,1,0
2013,New Delhi,3,28,0,0,1,1,0,1,0,0
2013,Bangalore,3,26,0,4,1,1,0,1,1,0
2017,Pune,2,27,0,5,1,0,1,1,1,0
2013,New Delhi,3,30,0,0,1,0,1,1,1,0
2018,New Delhi,3,25,0,3,1,0,1,1,1,0
2018,Bangalore,3,33,0,4,1,0,1,1,0,0
2018,Bangalore,3,34,0,3,1,1,0,1,0,0
2015,New Delhi,2,28,0,1,1,1,0,1,0,0
2018,Bangalore,3,35,0,1,1,0,1,1,0,0
2018,New Delhi,3,35,0,0,1,1,0,1,1,1
2015,Pune,2,40,0,2,1,1,0,1,0,0
2016,Pune,3,28,0,2,1,1,0,1,0,0
2015,Pune,2,29,0,4,1,1,0,1,0,0
2015,Bangalore,3,30,0,3,1,1,0,1,0,0
2017,New Delhi,2,22,0,0,1,0,1,1,1,0
2014,Bangalore,3,25,0,3,1,1,0,1,0,0
2013,Bangalore,2,27,0,5,1,1,0,1,0,0
2013,Pune,3,25,1,3,1,1,0,1,0,0
2015,Pune,3,28,0,4,1,1,0,1,0,0
2018,Bangalore,2,28,0,3,1,1,0,1,0,0
2013,Bangalore,3,39,0,5,1,0,1,1,0,0
2015,Pune,2,34,0,5,1,1,0,1,0,0
2014,Bangalore,3,34,0,0,1,0,1,1,0,0
2015,Bangalore,3,39,0,2,1,0,1,1,0,0
2017,New Delhi,2,25,1,3,1,0,1,1,1,0
2018,Pune,3,32,1,5,1,0,1,1,0,0
2018,Bangalore,3,26,0,4,1,0,1,1,1,0
2018,Bangalore,3,30,1,2,1,0,1,1,1,0
2017,New Delhi,2,30,0,1,1,0,1,1,0,0
2013,Bangalore,3,28,0,0,1,1,0,1,0,0
2012,Bangalore,2,27,0,5,1,1,0,1,0,0
2017,Pune,2,30,0,4,1,1,0,1,0,0
2015,Pune,1,34,0,3,1,1,0,1,0,0
2016,New Delhi,3,37,0,3,1,1,0,1,1,0
2013,New Delhi,3,29,0,1,1,1,0,1,0,0
2015,Bangalore,2,27,0,5,1,1,0,1,0,0
2018,New Delhi,3,40,0,2,1,0,1,1,1,0
2012,Bangalore,3,37,0,4,1,0,1,1,0,0
2017,Bangalore,3,28,0,1,1,0,1,1,1,0
2018,Bangalore,3,27,1,5,1,0,1,1,0,0
2018,New Delhi,3,24,0,2,1,0,1,1,1,1
2012,New Delhi,2,25,0,3,1,0,1,1,0,0
2012,New Delhi,2,27,0,5,1,1,0,1,0,0
2014,Bangalore,3,24,0,2,1,1,0,1,1,0
2018,Bangalore,3,37,0,4,1,0,1,1,0,0
2017,Pune,2,38,0,1,1,1,0,1,0,0
2015,New Delhi,2,27,0,5,1,1,0,1,0,0
2014,Pune,2,37,0,5,1,1,0,1,0,0
2014,Bangalore,3,39,0,5,1,0,1,1,0,0
2017,Pune,2,33,0,4,1,1,0,1,0,0
2015,Bangalore,3,27,0,5,1,0,1,1,1,0
2017,Pune,3,28,0,4,1,1,0,1,0,0
2018,Pune,2,28,0,5,1,1,0,1,0,0
2013,Pune,2,24,0,2,1,1,0,1,0,0
2018,Pune,3,29,1,3,1,0,1,1,0,0
2015,Pune,3,35,0,0,1,1,0,1,0,0
2018,Bangalore,3,30,0,2,1,0,1,1,0,0
2015,Bangalore,3,24,1,2,1,0,1,1,0,0
2015,Bangalore,3,25,0,3,1,0,1,1,0,0
2017,Bangalore,2,25,0,3,1,1,0,1,0,0
2013,Bangalore,3,33,0,3,1,0,1,1,0,0
2017,Bangalore,3,37,0,2,1,0,1,1,0,0
2014,Pune,2,38,0,3,1,1,0,1,0,0
2018,Bangalore,3,32,0,2,1,0,1,1,0,0
2013,Bangalore,3,30,0,1,1,0,1,1,1,0
2013,New Delhi,3,25,0,3,1,0,1,1,1,0
2014,Pune,3,29,0,1,1,1,0,1,0,0
2017,New Delhi,2,30,0,2,1,1,0,1,1,0
2015,Pune,2,30,0,2,1,1,0,1,1,0
2017,Bangalore,2,26,1,4,1,0,1,1,1,0
2013,Pune,2,36,0,2,1,0,1,1,0,0
2016,Bangalore,3,29,0,2,1,0,1,1,0,0
2012,Bangalore,3,30,0,0,1,1,0,1,0,0
2015,Pune,2,26,0,4,1,1,0,1,1,0
2015,Pune,3,27,0,5,1,1,0,1,1,0
2013,New Delhi,1,24,0,2,1,1,0,1,1,0
2015,Pune,3,24,0,2,1,1,0,1,0,0
2013,Bangalore,3,23,1,1,1,0,1,1,0,0
2017,New Delhi,3,24,0,2,1,0,1,1,0,0
2018,Pune,2,31,0,3,1,1,0,1,0,0
2017,New Delhi,3,37,0,1,1,1,0,1,0,0
2017,New Delhi,3,25,0,3,1,0,1,1,1,0
2015,Pune,2,36,0,0,1,1,0,1,0,0
2017,Bangalore,3,40,0,4,1,0,1,1,1,0
2015,Bangalore,3,30,0,2,1,0,1,1,0,0
2013,Bangalore,3,25,1,3,1,0,1,1,0,0
2012,Pune,3,29,0,4,1,0,1,1,1,0
2015,Bangalore,3,24,0,2,1,0,1,1,0,0
2017,Pune,3,29,0,0,1,1,0,1,0,0
2018,Pune,3,40,0,3,1,0,1,1,0,0
2012,Bangalore,3,27,0,5,1,0,1,1,0,0
2013,New Delhi,3,38,0,4,1,1,0,1,0,0
2016,New Delhi,3,33,0,0,1,0,1,1,1,1
2018,New Delhi,3,28,0,2,1,1,0,1,1,0
2016,Pune,2,30,0,1,1,1,0,1,0,0
2013,Pune,2,25,0,3,1,0,1,1,0,0
2016,Pune,3,32,0,3,1,1,0,1,0,0
2012,New Delhi,2,38,0,1,1,1,0,1,0,0
2015,Pune,3,32,0,0,1,1,0,1,0,0
2013,Bangalore,3,22,0,0,1,0,1,1,0,0
2015,Bangalore,3,24,0,2,1,1,0,1,0,0
2017,New Delhi,1,26,0,4,1,1,0,1,1,0
2015,Pune,3,28,0,3,1,1,0,1,0,0
2017,New Delhi,2,32,0,4,1,1,0,1,0,0
2018,New Delhi,3,30,0,2,1,1,0,1,1,0
2015,Pune,2,28,0,4,1,1,0,1,0,0
2012,Pune,3,24,0,2,1,1,0,1,0,0
2018,New Delhi,3,25,0,3,1,0,1,1,1,1
2014,Pune,1,40,0,1,1,1,0,1,0,0
2017,New Delhi,2,24,0,2,1,1,0,1,0,0
2016,Pune,3,27,0,5,1,0,1,1,0,0
2012,Pune,2,36,0,5,1,1,0,1,0,0
2018,New Delhi,3,33,0,2,1,1,0,1,1,0
2018,Pune,3,28,0,1,1,0,1,1,0,0
2018,Bangalore,3,32,1,2,1,0,1,1,0,0
2018,New Delhi,3,35,0,2,1,0,1,1,1,0
2013,Bangalore,3,35,0,3,1,0,1,1,0,0
2016,New Delhi,3,25,0,3,1,0,1,1,1,0
2018,Bangalore,3,24,0,2,1,0,1,1,0,0
2013,Bangalore,3,24,0,2,1,0,1,1,0,0
2015,Bangalore,3,30,0,1,1,1,0,1,0,0
2018,Bangalore,3,28,1,3,1,0,1,1,0,0
2012,Bangalore,3,37,0,3,1,0,1,1,0,0
2017,Bangalore,3,32,0,4,1,1,0,1,1,0
2015,Pune,2,36,1,0,1,1,0,1,0,0
2015,Pune,2,28,1,2,1,1,0,1,0,0
2018,Pune,2,35,0,2,1,1,0,1,0,0
2013,New Delhi,1,24,0,2,1,1,0,1,0,0
2013,Bangalore,3,30,0,3,1,0,1,1,0,0
2017,Bangalore,2,26,0,4,1,0,1,1,1,0
2018,Bangalore,3,28,0,2,1,1,0,1,1,0
2013,New Delhi,3,24,0,2,1,1,0,1,0,0
2014,Pune,3,36,0,5,1,1,0,1,0,0
2015,Pune,2,40,0,4,1,1,0,1,0,0
2017,New Delhi,3,26,0,4,1,0,1,1,1,0
2017,New Delhi,3,24,0,2,1,1,0,1,0,0
2017,New Delhi,2,38,0,2,1,1,0,1,1,0
2018,Pune,3,28,1,0,1,0,1,1,0,0
2013,Pune,1,24,0,2,1,0,1,1,1,0
2012,New Delhi,3,24,0,2,1,1,0,1,1,0
2018,Bangalore,3,38,0,6,1,0,1,1,0,0
2012,Bangalore,3,36,0,1,1,0,1,1,0,0
2014,Bangalore,3,25,0,3,1,0,1,1,0,0
2013,New Delhi,3,41,1,2,1,1,0,1,1,0
2015,Pune,1,28,0,3,1,1,0,1,1,0
2017,Bangalore,3,35,0,1,1,1,0,1,0,0
2013,Bangalore,3,25,0,3,1,1,0,1,0,0
2013,Bangalore,1,34,0,4,1,0,1,1,0,0
2012,Bangalore,3,39,0,3,1,1,0,1,1,0
2017,Bangalore,3,27,0,5,1,1,0,1,0,0
2013,Bangalore,3,27,0,5,1,0,1,1,1,0
2018,New Delhi,2,30,0,4,1,1,0,1,1,1
2017,Pune,3,27,0,5,1,0,1,1,1,0
2018,Bangalore,3,32,1,2,1,1,0,1,0,0
2017,Bangalore,3,24,0,2,1,0,1,1,0,0
2012,Pune,2,32,0,1,1,0,1,1,0,0
2012,Bangalore,3,38,0,7,1,0,1,1,0,0
2016,Pune,2,37,0,3,1,1,0,1,0,0
2015,Pune,1,28,0,2,1,1,0,1,0,0
2015,Pune,3,37,0,1,1,1,0,1,0,0
2015,New Delhi,1,34,0,5,1,0,1,1,1,0
2017,Bangalore,3,28,0,3,1,1,0,1,0,0
2012,Bangalore,3,28,0,0,1,0,1,1,0,0
2012,Pune,2,32,0,5,1,1,0,1,0,0
2016,Pune,2,28,0,0,1,1,0,1,0,0
2018,New Delhi,3,23,0,1,1,1,0,1,1,0
2015,New Delhi,3,24,0,2,1,1,0,1,1,0
2012,Bangalore,3,23,0,1,1,1,0,1,0,0
2014,Bangalore,3,31,0,3,1,0,1,1,0,0
2013,Pune,2,24,0,2,1,0,1,1,0,0
2015,Pune,2,37,0,1,1,1,0,1,0,0
2015,Pune,1,38,0,1,1,1,0,1,0,0
2015,Pune,3,40,1,2,1,1,0,1,0,0
2012,New Delhi,3,32,0,1,1,0,1,1,0,0
2015,Pune,2,34,0,2,1,1,0,1,0,0
2018,New Delhi,3,36,1,2,1,1,0,1,0,0
2018,Bangalore,3,28,0,1,1,0,1,1,0,0
2017,New Delhi,2,27,0,5,1,0,1,1,1,0
2014,Pune,2,27,0,5,1,1,0,1,0,0
2018,New Delhi,3,28,0,2,1,0,1,1,1,0
2013,Bangalore,2,29,0,1,1,0,1,1,1,0
2016,Bangalore,3,28,0,1,1,1,0,1,0,0
2013,New Delhi,1,29,0,2,1,1,0,1,1,0
2018,Bangalore,3,30,1,1,1,0,1,1,0,0
2018,New Delhi,3,40,1,4,1,0,1,1,0,0
2013,New Delhi,3,30,0,2,1,0,1,1,1,0
2015,Bangalore,3,39,0,5,1,0,1,1,0,0
2015,Pune,2,39,1,0,1,1,0,1,0,0
